Time,Home Team,Away Team,Status
11:30,Newcastle United,Manchester City,Full time
14:00,Arsenal,Leicester City,Full time
14:00,Nottingham Forest,Fulham,Full time
14:00,Everton,Crystal Palace,Full time
14:00,Brentford,West Ham United,Full time
14:00,Chelsea,Brighton & Hove Albion,Full time
16:30,Wolverhampton Wanderers,Liverpool FC,Full time
13:00,Ipswich Town,Aston Villa,Full time
15:30,Manchester United,Tottenham Hotspur,Full time
19:00,AFC Bournemouth,Southampton,Unknown Status
11:30,Crystal Palace,Liverpool FC,Unknown Status
14:00,Brentford,Wolverhampton Wanderers,Unknown Status
14:00,West Ham United,Ipswich Town,Unknown Status
14:00,Manchester City,Fulham,Unknown Status
14:00,Leicester City,AFC Bournemouth,Unknown Status
14:00,Arsenal,Southampton,Unknown Status
16:30,Everton,Newcastle United,Unknown Status
13:00,Aston Villa,Manchester United,Unknown Status
13:00,Chelsea,Nottingham Forest,Unknown Status
15:30,Brighton & Hove Albion,Tottenham Hotspur,Unknown Status
11:30,Tottenham Hotspur,West Ham United,Unknown Status
14:00,Ipswich Town,Everton,Unknown Status
14:00,Manchester United,Brentford,Unknown Status
14:00,Newcastle United,Brighton & Hove Albion,Unknown Status
14:00,Southampton,Leicester City,Unknown Status
14:00,Fulham,Aston Villa,Unknown Status
16:30,AFC Bournemouth,Arsenal,Unknown Status
13:00,Wolverhampton Wanderers,Manchester City,Unknown Status
15:30,Liverpool FC,Chelsea,Unknown Status
19:00,Nottingham Forest,Crystal Palace,Unknown Status
19:00,Leicester City,Nottingham Forest,Unknown Status
14:00,Aston Villa,AFC Bournemouth,Unknown Status
14:00,Brentford,Ipswich Town,Unknown Status
14:00,Brighton & Hove Albion,Wolverhampton Wanderers,Unknown Status
14:00,Manchester City,Southampton,Unknown Status
16:30,Everton,Fulham,Unknown Status
14:00,Chelsea,Newcastle United,Unknown Status
14:00,Crystal Palace,Tottenham Hotspur,Unknown Status
14:00,West Ham United,Manchester United,Unknown Status
16:30,Arsenal,Liverpool FC,Unknown Status
